,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Match(es) Found,Status
0,400,439,"Euros 2016, Qualifiers",09.10.15,Spain vs Luxembourg,2015,Luxembourg,LU,4. Делгаду,Delgado,"['Ricardo Delgado', 'Gilson Delgado']",Success
1,401,439,"Euros 2016, Qualifiers",09.10.15,Spain vs Luxembourg,2015,Luxembourg,LU,14. Мальже,Malzhe,['Kevin Malget'],Success
2,402,439,"Euros 2016, Qualifiers",09.10.15,Spain vs Luxembourg,2015,Luxembourg,LU,18. Янс,Jans,['Laurent Jans'],Success
3,403,439,"Euros 2016, Qualifiers",09.10.15,Spain vs Luxembourg,2015,Luxembourg,LU,8. Мартинс К.,K Martins,['Christopher Martins Pereira'],Success
4,404,439,"Euros 2016, Qualifiers",09.10.15,Spain vs Luxembourg,2015,Luxembourg,LU,10. Пайяль,Payal,['Ben Payal'],Success
5,405,439,"Euros 2016, Qualifiers",09.10.15,Spain vs Luxembourg,2015,Luxembourg,LU,17. Мутш,Mutsh,['Mario Mutsch'],Success
6,406,440,"Euros 2016, Qualifiers",12.10.15,Belarus vs North Macedonia,2015,N. Macedonia,MK,6. Шиков,Shikov,['Vance Sikov'],Success
7,407,440,"Euros 2016, Qualifiers",12.10.15,Belarus vs North Macedonia,2015,N. Macedonia,MK,2. Брдаровски,Brdarovski,['Vladica Brdarovski'],Success
8,408,440,"Euros 2016, Qualifiers",12.10.15,Belarus vs North Macedonia,2015,N. Macedonia,MK,3. Жута,Yellow,0,Fail
9,409,440,"Euros 2016, Qualifiers",12.10.15,Belarus vs North Macedonia,2015,N. Macedonia,MK,4. Петрович,['Kire Ristevski'],['Kire Ristevski'],Success
10,410,440,"Euros 2016, Qualifiers",12.10.15,Belarus vs North Macedonia,2015,N. Macedonia,MK,5. Мойсов,Moisov,['Daniel Mojsov'],Success
11,411,440,"Euros 2016, Qualifiers",12.10.15,Belarus vs North Macedonia,2015,N. Macedonia,MK,9. Трайковски,Trajkovski,['Aleksandar Trajkovski'],Success
12,412,440,"Euros 2016, Qualifiers",12.10.15,Belarus vs North Macedonia,2015,N. Macedonia,MK,17. Степанович,Stepanovich,['Ostoja Stjepanovic'],Success
13,413,440,"Euros 2016, Qualifiers",12.10.15,Belarus vs North Macedonia,2015,N. Macedonia,MK,22. Митов-Нилсон,Mitov Nilson,['David Mitov Nilsson'],Success
14,414,441,"Euros 2016, Qualifiers",12.10.15,Luxembourg vs Slovakia,2015,Luxembourg,LU,1. Жубер,Joubert,['Jonathan Joubert'],Success
15,415,441,"Euros 2016, Qualifiers",12.10.15,Luxembourg vs Slovakia,2015,Luxembourg,LU,2. Шано,Shano,0,Fail
