Name,Age (that year),Nationality,Position,Market Value,Season,League,Team
Jan Oblak,"Jan 7, 1993 (21)",Slovenia,Goalkeeper,€4.00m,2013,Portuguese First Division,Benfica
Artur Moraes,"Jan 25, 1981 (33)","Brazil""",Goalkeeper,€3.50m,2013,Portuguese First Division,Benfica
Bruno Varela,"Nov 4, 1994 (19)",Cape Verde,Goalkeeper,€1.00m,2013,Portuguese First Division,Benfica
Paulo Lopes,"Jun 29, 1978 (36)",Portugal,Goalkeeper,€700k,2013,Portuguese First Division,Benfica
Ezequiel Garay,"Oct 10, 1986 (27)","Argentina""",Centre-Back,€20.00m,2013,Portuguese First Division,Benfica
Luisão,"Feb 13, 1981 (33)","Brazil""",Centre-Back,€5.00m,2013,Portuguese First Division,Benfica
Jardel,"Mar 29, 1986 (28)","Brazil""",Centre-Back,€4.00m,2013,Portuguese First Division,Benfica
Steven Vitória,"Jan 11, 1987 (27)","Canada""",Centre-Back,€3.00m,2013,Portuguese First Division,Benfica
Stefan Mitrovic,"May 22, 1990 (24)",Serbia,Centre-Back,€1.00m,2013,Portuguese First Division,Benfica
Victor Lindelöf,"Jul 17, 1994 (19)",Sweden,Centre-Back,€1.00m,2013,Portuguese First Division,Benfica
Guilherme Siqueira,"Apr 28, 1986 (28)","Brazil""",Left-Back,€8.00m,2013,Portuguese First Division,Benfica
Bruno Cortez,"Mar 11, 1987 (27)",Brazil,Left-Back,€1.70m,2013,Portuguese First Division,Benfica
Maximiliano Pereira,"Jun 8, 1984 (30)",Uruguay,Right-Back,€9.00m,2013,Portuguese First Division,Benfica
Sílvio,"Sep 28, 1987 (26)",Portugal,Right-Back,€5.00m,2013,Portuguese First Division,Benfica
André Almeida,"Sep 10, 1990 (23)",Portugal,Right-Back,€4.50m,2013,Portuguese First Division,Benfica
João Cancelo,"May 27, 1994 (20)",Portugal,Right-Back,€2.00m,2013,Portuguese First Division,Benfica
Nemanja Matic,"Aug 1, 1988 (25)","Serbia""",Defensive Midfield,€25.00m,2013,Portuguese First Division,Benfica
Enzo Pérez,"Feb 22, 1986 (28)",Argentina,Defensive Midfield,€11.00m,2013,Portuguese First Division,Benfica
Ljubomir Fejsa,"Aug 14, 1988 (25)",Serbia,Defensive Midfield,€4.50m,2013,Portuguese First Division,Benfica
Rúben Pinto,"Apr 24, 1992 (22)",Portugal,Defensive Midfield,€1.00m,2013,Portuguese First Division,Benfica
André Gomes,"Jul 30, 1993 (20)",Portugal,Central Midfield,€5.00m,2013,Portuguese First Division,Benfica
Rúben Amorim,"Jan 27, 1985 (29)",Portugal,Central Midfield,€4.50m,2013,Portuguese First Division,Benfica
Miralem Sulejmani,"Dec 5, 1988 (25)",Serbia,Left Midfield,€2.50m,2013,Portuguese First Division,Benfica
Nico Gaitán,"Feb 23, 1988 (26)",Argentina,Attacking Midfield,€18.00m,2013,Portuguese First Division,Benfica
Filip Djuricic,"Jan 30, 1992 (22)",Serbia,Attacking Midfield,€7.00m,2013,Portuguese First Division,Benfica
Bernardo Silva,"Aug 10, 1994 (19)",Portugal,Attacking Midfield,€2.50m,2013,Portuguese First Division,Benfica
Ola John,"May 19, 1992 (22)","Netherlands""",Left Winger,€8.00m,2013,Portuguese First Division,Benfica
Ivan Cavaleiro,"Oct 18, 1993 (20)","Angola""",Left Winger,€3.00m,2013,Portuguese First Division,Benfica
Eduardo Salvio,"Jul 13, 1990 (23)",Argentina,Right Winger,€17.00m,2013,Portuguese First Division,Benfica
Lazar Markovic,"Mar 2, 1994 (20)",Serbia,Right Winger,€10.00m,2013,Portuguese First Division,Benfica
