,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Match(es) Found,Status
0,1900,359,"Euros 2016, Qualifiers",13.10.14,Kazakhstan vs Czech,2014,Kazakhstan,KZ,9. Исламхан,Islamkhan,['Bauyrzhan Islamkhan'],Success
1,1901,359,"Euros 2016, Qualifiers",13.10.14,Kazakhstan vs Czech,2014,Kazakhstan,KZ,10. Тагыберген,Tagybergen,['Askhat Tagybergen'],Success
2,1902,359,"Euros 2016, Qualifiers",13.10.14,Kazakhstan vs Czech,2014,Kazakhstan,KZ,17. Нусербаев,Nuserbaev,['Tanat Nuserbaev'],Success
3,1903,359,"Euros 2016, Qualifiers",13.10.14,Kazakhstan vs Czech,2014,Kazakhstan,KZ,20. Хижниченко,Khizhnichenko,['Sergey Khizhnichenko'],Success
4,1904,359,"Euros 2016, Qualifiers",13.10.14,Kazakhstan vs Czech,2014,Czech,CZ,2. Кадержабек,Kaderzhabek,['Pavel Kaderabek'],Success
5,1905,359,"Euros 2016, Qualifiers",13.10.14,Kazakhstan vs Czech,2014,Czech,CZ,Kolář,Kolář,"['Ondrej Kolar', 'Daniel Kolar']",Success
6,1906,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Iceland,IS,1. Хадльдорссон,Haldorsson,"['Hannes Thór Halldórsson', 'Hilmar Árni Halldórsson']",Success
7,1907,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Iceland,IS,6. Сигурдссон Р.,R Sigurdsson,['Arnór Sigurdsson'],Success
8,1908,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Iceland,IS,8. Б. Бьярнасон,B Bjarnason,['Aron Bjarnason'],Success
9,1909,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Iceland,IS,9. Сигторссон,Sigthorsson,['Kolbeinn Sigthórsson'],Success
10,1910,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Iceland,IS,10. Сигурдссон Г.,G Sigurdsson,['Gylfi Sigurdsson'],Success
11,1911,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Iceland,IS,14. Арнасон,Arnason,['Hördur Árnason'],Success
12,1912,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Iceland,IS,17. Гуннарссон,Gunnarsson,"['Aron Gunnarsson', 'Patrik Gunnarsson', 'Hördur Ingi Gunnarsson']",Success
13,1913,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Iceland,IS,18. Бьярнасон,Bjarnason,"['Birkir Bjarnason', 'Elmar Bjarnason', 'Andri Rúnar Bjarnason', 'Brynjar Ingi Bjarnason', 'Aron Bjarnason']",Success
14,1914,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Iceland,IS,20. Хадльфредссон,Hallfredsson,['Emil Hallfredsson'],Success
15,1915,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Iceland,IS,22. Бедварссон,Bedvarsson,['Jón Dadi Bödvarsson'],Success
16,1916,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Iceland,IS,23. Скуласон,Skulason,"['Ólafur Ingi Skúlason', 'Ari Freyr Skúlason']",Success
17,1917,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Netherlands,NL,1. Силлессен,Cillessen,['Jasper Cillessen'],Success
18,1918,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Netherlands,NL,2. ван дер Вил,vander Weele,['Gregory van der Wiel'],Success
19,1919,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Netherlands,NL,3. де Врей,de Vray,['Stefan de Vrij'],Success
