,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,To Remove
0,554,554,554,3158,"World Cup Qualifiers, Europe, 2018",Montenegro vs Denmark,05-10-2017,Montenegro,ME,2017,SUCCESS,0,1500000.0,False,working,False,0,Tomašević,none,False
1,774,774,774,3168,"World Cup Qualifiers, Europe, 2018",Montenegro vs Armenia,10-06-2017,Montenegro,ME,2017,SUCCESS,0,1500000.0,False,working,False,0,Tomašević,none,False
2,4477,4477,77,2227,"World Cup Qualifiers, Africa, 2026",São Tomé and Príncipe vs Namibia,21-11-2023,Namibia,,2023,SUCCESS,0,25000.0,False,working,False,0,L Kazapua,none,False
3,4478,4478,78,2227,"World Cup Qualifiers, Africa, 2026",São Tomé and Príncipe vs Namibia,21-11-2023,Namibia,,2023,SUCCESS,0,1200000.0,False,working,False,0,R Nyambe,none,False
4,4479,4479,79,2227,"World Cup Qualifiers, Africa, 2026",São Tomé and Príncipe vs Namibia,21-11-2023,Namibia,,2023,SUCCESS,0,75000.0,False,working,False,0,I Kamberipa,none,False
5,4480,4480,80,2227,"World Cup Qualifiers, Africa, 2026",São Tomé and Príncipe vs Namibia,21-11-2023,Namibia,,2023,SUCCESS,0,150000.0,False,working,False,0,A Gebhardt,none,False
6,4481,4481,81,2227,"World Cup Qualifiers, Africa, 2026",São Tomé and Príncipe vs Namibia,21-11-2023,Namibia,,2023,SUCCESS,0,750000.0,False,working,False,0,R Hanamub,none,False
7,4482,4482,82,2227,"World Cup Qualifiers, Africa, 2026",São Tomé and Príncipe vs Namibia,21-11-2023,Namibia,,2023,SUCCESS,0,200000.0,False,working,False,0,P Shitembi,none,False
8,4483,4483,83,2227,"World Cup Qualifiers, Africa, 2026",São Tomé and Príncipe vs Namibia,21-11-2023,Namibia,,2023,SUCCESS,0,100000.0,False,working,False,0,K Amutenya,none,False
9,4484,4484,84,2227,"World Cup Qualifiers, Africa, 2026",São Tomé and Príncipe vs Namibia,21-11-2023,Namibia,,2023,SUCCESS,0,75000.0,False,working,False,0,A Petrus,none,False
10,4485,4485,85,2227,"World Cup Qualifiers, Africa, 2026",São Tomé and Príncipe vs Namibia,21-11-2023,Namibia,,2023,SUCCESS,0,500000.0,False,working,False,0,D Hotto,none,False
11,4486,4486,86,2227,"World Cup Qualifiers, Africa, 2026",São Tomé and Príncipe vs Namibia,21-11-2023,Namibia,,2023,SUCCESS,0,75000.0,False,working,False,0,B Muzeu,none,False
12,4487,4487,87,2227,"World Cup Qualifiers, Africa, 2026",São Tomé and Príncipe vs Namibia,21-11-2023,Namibia,,2023,SUCCESS,0,125000.0,False,working,False,0,P Tjiueza,none,False
13,4543,4543,143,2230,"World Cup Qualifiers, Africa, 2026",Equatorial Guinea vs Namibia,15-11-2023,Namibia,,2023,SUCCESS,0,25000.0,False,working,False,0,L Kazapua,none,False
14,4544,4544,144,2230,"World Cup Qualifiers, Africa, 2026",Equatorial Guinea vs Namibia,15-11-2023,Namibia,,2023,SUCCESS,0,75000.0,False,working,False,0,I Kamberipa,none,False
15,4545,4545,145,2230,"World Cup Qualifiers, Africa, 2026",Equatorial Guinea vs Namibia,15-11-2023,Namibia,,2023,SUCCESS,0,100000.0,False,working,False,0,K Amutenya,none,False
16,4546,4546,146,2230,"World Cup Qualifiers, Africa, 2026",Equatorial Guinea vs Namibia,15-11-2023,Namibia,,2023,SUCCESS,0,150000.0,False,working,False,0,A Gebhardt,none,False
17,4547,4547,147,2230,"World Cup Qualifiers, Africa, 2026",Equatorial Guinea vs Namibia,15-11-2023,Namibia,,2023,SUCCESS,0,750000.0,False,working,False,0,R Hanamub,none,False
18,4548,4548,148,2230,"World Cup Qualifiers, Africa, 2026",Equatorial Guinea vs Namibia,15-11-2023,Namibia,,2023,SUCCESS,0,50000.0,False,working,False,0,A Iimbondi,none,False
19,4549,4549,149,2230,"World Cup Qualifiers, Africa, 2026",Equatorial Guinea vs Namibia,15-11-2023,Namibia,,2023,SUCCESS,0,200000.0,False,working,False,0,P Shitembi,none,False
20,4550,4550,150,2230,"World Cup Qualifiers, Africa, 2026",Equatorial Guinea vs Namibia,15-11-2023,Namibia,,2023,SUCCESS,0,75000.0,False,working,False,0,A Petrus,none,False
21,4551,4551,151,2230,"World Cup Qualifiers, Africa, 2026",Equatorial Guinea vs Namibia,15-11-2023,Namibia,,2023,SUCCESS,0,500000.0,False,working,False,0,D Hotto,none,False
22,4552,4552,152,2230,"World Cup Qualifiers, Africa, 2026",Equatorial Guinea vs Namibia,15-11-2023,Namibia,,2023,SUCCESS,0,75000.0,False,working,False,0,B Muzeu,none,False
23,4597,4597,197,2232,"World Cup Qualifiers, Africa, 2026",Sierra Leone vs Egypt,19-11-2023,Egypt,EG,2023,SUCCESS,0,9000000.0,False,working,False,0,Trézéguet,none,False
