,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case
1,1,3137,"World Cup Qualifiers, Europe, 2018",Switzerland vs Faroe Islands,13-11-2016,Faroe Islands,FO,2016,SUCCESS,Fródi Benjaminsen,0,FALSE,Both Empty,FALSE,Fródi Benjaminsen,F Benjaminsen,single
28,28,3179,"World Cup Qualifiers, Europe, 2018",Liechtenstein vs Italy,12-11-2016,Liechtenstein,LI,2016,SUCCESS,Andreas Christen,0,FALSE,Both Empty,FALSE,Andreas Christen,A Christen,single
32,32,2685,"World Cup Qualifiers, Asia, 2022",Maldives vs Guam,19-11-2019,Guam,GU,2019,SUCCESS,Michael Crowley,0,FALSE,Both Empty,FALSE,Michael Crowley,M Crowley,single
53,53,2691,"World Cup Qualifiers, Asia, 2022",Cambodia vs Hong Kong,05-09-2019,Cambodia,KH,2019,SUCCESS,Phallin Hoy,0,FALSE,Both Empty,FALSE,Phallin Hoy,Hoy Phallin,single
59,59,2693,"World Cup Qualifiers, Asia, 2022",Guam vs Philippines,10-09-2019,Guam,GU,2019,SUCCESS,Michael Crowley,0,FALSE,Both Empty,FALSE,Michael Crowley,M Crowley,single
62,62,2693,"World Cup Qualifiers, Asia, 2022",Guam vs Philippines,10-09-2019,Philippines,PH,2019,SUCCESS,Yrick Gallantes,0,FALSE,Both Empty,FALSE,Yrick Gallantes,Y Galantes,single
70,70,2699,"World Cup Qualifiers, Asia, 2022",Kuwait vs Nepal,05-09-2019,Kuwait,KW,2019,SUCCESS,Ahmad Raheel Al-Dhufairi,0,FALSE,Both Empty,FALSE,Ahmad Raheel Al-Dhufairi,A Al Dhufairi,single
74,74,2710,"World Cup Qualifiers, Asia, 2026",Maldives vs Bangladesh,12-10-2023,Maldives,MV,2023,SUCCESS,Mohamed Naim,0,FALSE,Both Empty,FALSE,Mohamed Naim,M Naim,single
84,84,2721,"World Cup Qualifiers, Asia, 2026",Mongolia vs Afghanistan,17-10-2023,Mongolia,MN,2023,SUCCESS,Filip Andersen,0,FALSE,Both Empty,FALSE,Filip Andersen,F Andersen,single
94,94,2722,"World Cup Qualifiers, Asia, 2026",Sri Lanka vs Yemen,17-10-2023,Sri Lanka,LK,2023,SUCCESS,Kavindu Ishan,0,FALSE,Both Empty,FALSE,Kavindu Ishan,K Ishan,single
