,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,Lookup Still Required?,Lookup Return Case,Name(s) Found,Translated Name,Original Case,To Remove
69,2588,"World Cup Qualifiers, Asia, 2022",03-06-2021,Bangladesh vs Afghanistan,2021,Bangladesh,BD,M Ra,True,Failed Using Name Looking at Season and Season +-1,['Monaem Raju Khan'],,Group 1 Fail,False
70,2592,"World Cup Qualifiers, Asia, 2022",07-06-2021,Bangladesh vs India,2021,Bangladesh,BD,M Ra,True,Failed Using Name Looking at Season and Season +-1,['Monaem Raju Khan'],,Group 1 Fail,False
71,2611,"World Cup Qualifiers, Asia, 2022",5-9-2019,Indonesia vs Malaysia,2019,Indonesia,ID,Zul,True,Failed Using Name Looking at Season and Season +-1,['Zulham Zamrun'],,Group 1 Fail,False
72,2623,"World Cup Qualifiers, Asia, 2022",10-10-2019,Bangladesh vs Qatar,2019,Bangladesh,BD,M Ra,True,Failed Using Name Looking at Season and Season +-1,['Monaem Raju Khan'],,Group 1 Fail,False
73,310,World Cup 2022,21.11.22,England vs Iran,2022,Iran,IR,Karimi,True,Failed Using Name Looking at Season and Season +-1,Ali Karimi,,Group 1 Fail,False
74,311,World Cup 2022,21.11.22,United States vs Wales,2022,United States,US,Mc Kennie,True,Failed Using Name Looking at Season and Season +-1,['Weston Mckennie'],,Group 1 Fail,False
75,313,World Cup 2022,25.11.22,England vs United States,2022,United States,US,Mc Kennie,True,Failed Using Name Looking at Season and Season +-1,[‘Weston Mckennie’],,Group 1 Fail,False
76,315,World Cup 2022,29.11.22,Iran vs United States,2022,United States,US,Mc Kennie,True,Failed Using Name Looking at Season and Season +-1,[‘Weston Mckennie’],,Group 1 Fail,False
77,1935,"World Cup Qualifiers, Africa, 2018",12-11-2017,Ghana vs Egypt,2017,Ghana,GH,E Gyasi,True,Failed Using Name Looking at Season and Season +-1,['Emmanuel Gyasi'],,Group 1 Fail,False
78,3539,"African Cup of Nations, 2019",08-07-2019,Mali vs Cote d'Ivoire,2019,Mali,ML,A Diaby,True,Failed Using Name Looking at Season and Season +-1,['Alassane Diaby'],,Group 1 Fail,False
79,3569,"African Cup of Nations, 2019",28-06-2019,Tunisia vs Mali,2019,Mali,ML,A Diaby,True,Failed Using Name Looking at Season and Season +-1,['Alassane Diaby'],,Group 1 Fail,False
80,3586,"African Cup of Nations, 2019",24-06-2019,Mali vs Mauritania,2019,Mali,ML,A Diaby,True,Failed Using Name Looking at Season and Season +-1,['Alassane Diaby'],,Group 1 Fail,False
